log_id,message_id,from_address,received_at,attachment_name,processing_status,created_at
1,BH26.0935,dathang@email.vn,2026-03-01,BH26_0935.eml,processed,2026-05-27 14:54:50
2,BH26.0936,dathang@email.vn,2026-03-01,BH26_0936.eml,processed,2026-05-27 14:54:50
3,BH26.0937,dathang@email.vn,2026-03-01,BH26_0937.eml,processed,2026-05-27 14:54:50
4,BH26.0938,dathang@email.vn,2026-03-01,BH26_0938.eml,processed,2026-05-27 14:54:50
5,BH26.0939,dathang@email.vn,2026-03-01,BH26_0939.eml,processed,2026-05-27 14:54:50
6,BH26.0940,dathang@email.vn,2026-03-01,BH26_0940.eml,processed,2026-05-27 14:54:50
7,BH26.0941,dathang@email.vn,2026-03-01,BH26_0941.eml,processed,2026-05-27 14:54:50
8,BH26.0942,dathang@email.vn,2026-03-01,BH26_0942.eml,processed,2026-05-27 14:54:50
9,BH26.0943,dathang@email.vn,2026-03-01,BH26_0943.eml,processed,2026-05-27 14:54:50
10,BH26.0944,dathang@email.vn,2026-03-01,BH26_0944.eml,processed,2026-05-27 14:54:50
11,BH26.0945,dathang@email.vn,2026-03-01,BH26_0945.eml,processed,2026-05-27 14:54:50
12,BH26.0946,dathang@email.vn,2026-03-01,BH26_0946.eml,processed,2026-05-27 14:54:50
13,BH26.0947,dathang@email.vn,2026-03-01,BH26_0947.eml,processed,2026-05-27 14:54:50
14,BH26.0948,dathang@email.vn,2026-03-01,BH26_0948.eml,processed,2026-05-27 14:54:50
15,BH26.0949,dathang@email.vn,2026-03-01,BH26_0949.eml,processed,2026-05-27 14:54:50
16,BH26.0950,dathang@email.vn,2026-03-01,BH26_0950.eml,processed,2026-05-27 14:54:50
17,BH26.0951,dathang@email.vn,2026-03-01,BH26_0951.eml,processed,2026-05-27 14:54:50
18,BH26.0952,dathang@email.vn,2026-03-01,BH26_0952.eml,processed,2026-05-27 14:54:50
19,BH26.0953,dathang@email.vn,2026-03-01,BH26_0953.eml,processed,2026-05-27 14:54:50
20,BH26.0954,dathang@email.vn,2026-03-01,BH26_0954.eml,processed,2026-05-27 14:54:50
