line_id,order_id,so_number,product_code,quantity,unit_price,line_total,created_at
1,1,BH25.0001,000214004000000,1.0,2305555.56,2305556.0,2026-05-20 04:20:41
2,2,BH25.0002,000333002022000,1.0,3509259.26,3509259.0,2026-05-20 04:20:41
3,3,BH25.0003,000224002004000,1.0,2398148.15,2398148.0,2026-05-20 04:20:41
4,4,BH25.0004,000217003001000,5.0,2453703.7,12268519.0,2026-05-20 04:20:41
5,5,BH25.0005,000217002007000,2.0,2212962.96,4425926.0,2026-05-20 04:20:41
6,6,BH25.0006,000225002015000,11.0,1898148.0,20879628.0,2026-05-20 04:20:41
7,6,BH25.0006,000226003015000,4.0,2037037.0,8148148.0,2026-05-20 04:20:41
8,7,BH25.0007,000217003001000,5.0,1594907.41,7974537.0,2026-05-20 04:20:41
9,7,BH25.0007,000226003015000,2.0,1685185.19,3370370.0,2026-05-20 04:20:41
10,7,BH25.0007,000225002004000,28.0,1618981.48,45331481.0,2026-05-20 04:20:41
11,7,BH25.0007,000224002004000,13.0,1558796.3,20264352.0,2026-05-20 04:20:41
12,7,BH25.0007,000214004000000,6.0,1498611.11,8991667.0,2026-05-20 04:20:41
13,7,BH25.0007,000331002004000,17.0,1799537.04,30592130.0,2026-05-20 04:20:41
14,7,BH25.0007,1030010000080000,3.0,1289814.81,3869444.0,2026-05-20 04:20:41
15,7,BH25.0007,000131002007000,15.0,1197685.19,17965278.0,2026-05-20 04:20:41
16,7,BH25.0007,000401002016002,36.0,1516666.67,54600000.0,2026-05-20 04:20:41
17,7,BH25.0007,000207004000000,5.0,1498611.11,7493056.0,2026-05-20 04:20:41
18,7,BH25.0007,1000300050010000,16.0,2943055.56,47088889.0,2026-05-20 04:20:41
19,8,BH25.0008,000224002004000,20.0,2222222.22,44444444.0,2026-05-20 04:20:41
20,9,BH25.0009,000218004005000,2.0,3324074.07,6648148.0,2026-05-20 04:20:41
21,10,BH25.0010,1000270020150000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
22,10,BH25.0010,1000270020220000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
23,10,BH25.0010,000117002023000,5.0,500000.0,2500000.0,2026-05-20 04:20:41
24,10,BH25.0010,000117002023000,10.0,500000.0,5000000.0,2026-05-20 04:20:41
25,10,BH25.0010,1000210020090000,3.0,470000.0,1410000.0,2026-05-20 04:20:41
26,10,BH25.0010,1000220020090000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
27,10,BH25.0010,1040010000080000,3.0,1231481.48,3694444.0,2026-05-20 04:20:41
28,11,BH25.0011,000218002007000,1.0,2305555.56,2305556.0,2026-05-20 04:20:41
29,17,BH25.0012,000226003015000,1.0,2592592.59,2592593.0,2026-05-20 04:20:41
30,16,BH25.0013,000225002007000,1.0,2490740.74,2490741.0,2026-05-20 04:20:41
31,18,BH25.0014,000224002009000,2.0,1130000.0,2260000.0,2026-05-20 04:20:41
32,18,BH25.0014,000224002002000,3.0,1130000.0,3390000.0,2026-05-20 04:20:41
33,18,BH25.0014,000224002015000,2.0,1130000.0,2260000.0,2026-05-20 04:20:41
34,18,BH25.0014,000225002023000,3.0,1180000.0,3540000.0,2026-05-20 04:20:41
35,18,BH25.0014,000225002002000,4.0,1180000.0,4720000.0,2026-05-20 04:20:41
36,18,BH25.0014,000225002015000,3.0,1180000.0,3540000.0,2026-05-20 04:20:41
37,18,BH25.0014,000225002025000,2.0,1180000.0,2360000.0,2026-05-20 04:20:41
38,18,BH25.0014,000125002009000,2.0,1050000.0,2100000.0,2026-05-20 04:20:41
39,18,BH25.0014,000125002002000,1.0,1050000.0,1050000.0,2026-05-20 04:20:41
40,18,BH25.0014,1000240020090000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
41,18,BH25.0014,1000240020220000,2.0,500000.0,1000000.0,2026-05-20 04:20:41
42,18,BH25.0014,1000230020090000,3.0,470000.0,1410000.0,2026-05-20 04:20:41
43,18,BH25.0014,1000220020090000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
44,18,BH25.0014,1000220020220000,1.0,500000.0,500000.0,2026-05-20 04:20:41
45,18,BH25.0014,1000270020220000,3.0,500000.0,1500000.0,2026-05-20 04:20:41
46,18,BH25.0014,000217003001000,3.0,1250000.0,3750000.0,2026-05-20 04:20:41
