order_id,so_number,invoice_symbol,invoice_number,order_date,customer_code,warehouse_code,payment_method,notes,total_amount,total_quantity,processing_status,created_at,updated_at
1,BH25.0001,C25TTN,1,2025-01-02,KH-00001,,,,4611112.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
2,BH25.0002,C25TTN,2,2025-01-06,KH-00002,,,,7018518.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
3,BH25.0003,C25TTN,3,2025-01-06,KH-00003,,,,4796296.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
4,BH25.0004,C25TTN,4,2025-01-06,KH-00004,,,,24537038.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
5,BH25.0005,C25TTN,5,2025-01-07,KH-00005,,,,8851852.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
6,BH25.0006,C25TTN,6,2025-01-07,KH-00006,,,,58055552.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
7,BH25.0007,C25TTN,7,2025-01-08,KH-00007,,,,495082408.0,292,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
8,BH25.0008,C25TTN,10,2025-01-09,KH-00009,,,,88888888.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
9,BH25.0009,C25TTN,11,2025-01-09,KH-00008,,,,13296296.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
10,BH25.0010,C25TTN,8,2025-01-09,KH-00010,,,,34208888.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
11,BH25.0011,C25TTN,9,2025-01-09,KH-00011,,,,4611112.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
12,BH25.0018,C25TTN,18,2025-01-10,KH-00018,,,,49840000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
13,BH25.0017,C25TTN,17,2025-01-10,KH-00017,,,,46700000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
14,BH25.0015,C25TTN,15,2025-01-10,KH-00015,,,,46420000.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
15,BH25.0016,C25TTN,16,2025-01-10,KH-00016,,,,73460000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
16,BH25.0013,C25TTN,13,2025-01-10,KH-00013,,,,4981482.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
17,BH25.0012,C25TTN,12,2025-01-10,KH-00012,,,,5185186.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
18,BH25.0014,C25TTN,14,2025-01-10,KH-00014,,,,85560000.0,90,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
19,BH25.0019,C25TTN,19,2025-01-11,KH-00019,,,,122458516.0,70,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
20,BH25.0020,C25TTN,20,2025-01-11,KH-00020,,,,249166664.0,120,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
21,BH25.0021,C25TTN,21,2025-01-11,KH-00021,,,,174074074.0,80,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
22,BH25.0022,C25TTN,22,2025-01-11,KH-00019,,,,72437038.0,44,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
23,BH25.0023,C25TTN,23,2025-01-11,KH-00019,,,,112263146.0,66,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
24,BH25.0024,C25TTN,25,2025-01-11,KH-00019,,,,72707958.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
25,BH25.0025,C25TTN,26,2025-01-11,KH-00019,,,,266747958.0,160,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
26,BH25.0026,C25TTN,27,2025-01-11,KH-00019,,,,28932036.0,16,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
27,BH25.0027,C25TTN,28,2025-01-11,KH-00019,,,,58790926.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
28,BH25.0034,C25TTN,36,2025-01-13,KH-00025,,,,26555556.0,12,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
29,BH25.0036,C25TTN,38,2025-01-13,KH-00027,,,,49166430.0,26,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
30,BH25.0035,C25TTN,37,2025-01-13,KH-00026,,,,15555556.0,6,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
31,BH25.0033,C25TTN,35,2025-01-13,KH-00024,,,,111800000.0,90,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
32,BH25.0028,C25TTN,30,2025-01-13,KH-00019,,,,56552224.0,32,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
33,BH25.0031,C25TTN,33,2025-01-13,KH-00022,,,,14500000.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
